name,categories,city,state,address,postalCode,latitude,longitude
Carl's Jr.,"Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants",Greeley,CO,2555 11th Avenue,80631,40.39629,-104.69699
Del Taco,"Restaurant,Mexican Restaurants,Fast Food Restaurants,Restaurants",Grand Junction,CO,2513 Highway 6 And 50,81505,39.08135,-108.58689
Which Wich,"Sandwich Shops,Fast Food Restaurants,Restaurants,Take Out Restaurants",Grand Junction,CO,1125 Patterson Road,81506,39.09148,-108.55411
Chipotle Mexican Grill,"Fast Food Restaurants,Mexican Restaurants,Restaurants,Take Out Restaurants",Aurora,CO,3455 N Salida Court,80011,39.76369,-104.77671
Taco Bell,"Fast Food Restaurants,Mexican Restaurants,Restaurants",Denver,CO,5225 E Colfax Avenue,80220,39.74044,-104.92636
McDonald's,"Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants,Take Out Restaurants",Denver,CO,1350 W Colfax Avenue,80204,39.73967,-105.00467
McDonald's,"Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants,Take Out Restaurants",Denver,CO,200 16th Street,80202,39.7417,-104.98829
Taco Bell,"Restaurant,Carry-out food,Mexican Restaurants,Tex-mex restaurants,Southwestern restaurants,Fast Food Restaurant,Mexican restaurants,Karaoke,Fast Food Restaurants,Restaurants",Fayetteville,AR,1772 N College Ave,72703,36.085369,-94.155319
Captain D's Seafood Kitchen,"Fast Food Restaurants,American Restaurants,Family Style Restaurants,Restaurants,Seafood Restaurants",Aurora,CO,605 S Havana Street,80012,39.70534,-104.86633
Shondiz,"Mexican Restaurants,Caterers,Greek Restaurants,Mediterranean Restaurants,Latin American Restaurants,Fast Food Restaurants,Restaurants",Denver,CO,16th Glenarm Place,80202,39.749107,-104.99459
Cook-Out,"Fast Food Restaurants,American Restaurants,Barbecue Restaurants,Hamburgers and Hot Dogs,Restaurants",Colorado Springs,CO,201 W Fillmore Street,80907,38.87469,-104.8257
Steak 'n Shake,"Burger Joint,American Restaurants,Breakfast,American Restaurant,Fast Food Restaurant,Traditional American,Fast Food Restaurants,Hamburgers,Restaurants",Colorado Springs,CO,1560 Briargate Boulevard,80920,38.94581,-104.79873
QDOBA Mexican Eats,"Mexican Restaurants,Fast Food Restaurants,Take Out Restaurants,Restaurants",Colorado Springs,CO,1916 Southgate Rd Space E8a,80906,38.80491,-104.81956
QDOBA Mexican Eats,"Grill Restaurants,Mexican,Mexican Restaurants,Brunch,Food Delivery,Fast Food,Fast Food Restaurants,Take Out Restaurants,Catering,Restaurants",Colorado Springs,CO,7140 N Academy Blvd Space B4,80920,38.93604,-104.79854
Burger King,"Burger Joint,Restaurant,Fast Food Restaurant and Burger Joint Pleasant Valley,Hot dog restaurants,Fast Food Restaurant,Hamburger restaurants,Fast Food Restaurant and Burger Joint,Fast food restaurants,Restaurants",Little Rock,AR,11410 N Rodney Parham Rd,72212,34.772621,-92.400605
Hardee's,"Hamburgers & Hot Dogs,Restaurant,Carry-out food,Hot dog restaurants,Fast Food Restaurant,Hamburger restaurants,Fast food restaurants,Restaurants",Harrison,AR,1111 Highway 62 65 N,72601,36.2597,-93.1265
Shelikof Lodge Restaurant,"Carry-out food,Hotels and motels,Hotel and motel reservations,Resorts,Travel and Tourism,Fraternal Organizations,American Restaurant,Take Out Restaurants,Fast Food Restaurants,Family Style Restaurants,Restaurants",Kodiak,AK,211 Thorsheim St,99615,57.791026,-152.40676
Taco Time,"Carry-out food,Mexican Restaurants,Tex-mex restaurants,Southwestern restaurants,American restaurants,Family style restaurants,Mexican restaurants,Fast Food Restaurants,Karaoke,Restaurants",Ketchikan,AK,2417 Tongass Ave Ste 120,99901,55.3484,-131.67413
Taco Bell,"Carry-out food,Mexican Restaurants,Food and Beverage,Tex-mex restaurants,Southwestern restaurants,American restaurants,Mexican restaurants,Fast Food Restaurants,Restaurants",Kodiak,AK,2695 Mill Bay Rd,99615,57.80987,-152.36508
Taco Bell,"Mexican Restaurant,Carry-out food,Restaurant,Tex-mex restaurants,Southwestern restaurants,Fast Food Restaurant,American restaurants,Mexican restaurants,Restaurants",North Pole,AK,209 N Santa Claus Ln,99705,64.756076,-147.35411
Pizza Mill,"Carry-out food,Caterers,Hot dog restaurants,Tex-mex restaurants,Southwestern restaurants,Hamburger restaurants,Mexican restaurants,American restaurants,Take Out Restaurants,Fast Food Restaurants,Restaurants,Pizza,Restaurant,Catering,Chinese restaurants",Ketchikan,AK,808 Water St,99901,55.3445,-131.6533
Pizza Hut,"Pizza,Carry-out food,Caterers,Restaurant delivery service,American restaurants,Take Out Restaurants,Fast Food Restaurants,Home delivery beer and beverages,Family Style Restaurants,Catering,Restaurants",Kenai,AK,10160 Kenai Spur Hwy,99611,60.561,-151.22925
Pizza Hut,"Carry-out food,Pizza Restaurants,Caterers,Restaurant delivery service,Chicken Wings,Catering Companies,Food Delivery,American restaurants,Take Out Restaurants,Fast Food Restaurants,Home delivery beer and beverages,Family Style Restaurants,Restaurants,Pizza,Pizza Place",Fairbanks,AK,1991 Airport Way,99701,64.8373,-147.7606
Sweet Pink Pepper,"Asian Restaurants,Carry-out food,Japanese Restaurants,Chinese Restaurants,American restaurants,Take Out Restaurants,Fast Food Restaurants,Asian restaurants,Japanese restaurants,Restaurants,Chinese restaurants",Anchorage,AK,1553 Bragaw St,99508,61.2076,-149.8035
